idx,t,x,y,heading_deg,velocity,omega,left_voltage,right_voltage
131,1.629000,102.523302,67.609597,270.567673,45.731117,-1.723076,11.266268,2.264738
132,1.639000,102.523302,67.609597,270.567673,46.451065,-2.471823,11.083482,2.268588
133,1.649000,102.523302,67.609597,270.567673,41.037054,-2.510220,10.892742,2.280390
134,1.659000,102.523302,67.609597,270.567673,42.520148,-3.006984,10.698268,2.295928
135,1.669000,102.523302,67.609597,270.567673,47.847765,-1.375101,10.502462,2.312797
136,1.679000,102.523302,67.609597,270.567673,49.186869,-1.099121,10.306651,2.329672
137,1.689000,102.523302,67.609597,270.567673,49.402853,-1.965459,10.136311,2.356758
138,1.699000,102.722854,64.392493,266.542407,46.652651,-1.958259,10.083542,2.429830
139,1.709000,102.687568,63.876654,265.631198,47.934159,-1.917462,10.074815,2.510561
140,1.719000,102.647408,63.399003,264.756842,48.481320,-2.234240,10.066717,2.583651
141,1.729000,102.599179,62.916503,263.826757,45.183956,-2.159845,10.058756,2.652828
142,1.739000,102.542147,62.431866,262.749955,45.039967,-2.299035,10.050534,2.720981
143,1.749000,102.480780,61.984273,261.636417,45.169557,-2.210241,10.041719,2.790451
144,1.759000,102.410212,61.535651,260.484953,45.414340,-2.318234,10.032020,2.863199
145,1.769000,102.410212,61.535651,260.484953,45.817511,-2.438225,10.020257,2.947168
146,1.779000,102.410212,61.535651,260.484953,45.702319,-2.534218,10.006067,3.043313
147,1.789000,102.410212,61.535651,260.484953,46.580656,-2.627811,9.991692,3.137721
148,1.799000,102.410212,61.535651,260.484953,46.623853,-2.591814,9.975413,3.242858
149,1.809000,102.410212,61.535651,260.484953,47.199812,-2.764602,9.956891,3.360655
150,1.819000,102.410212,61.535651,260.484953,47.358200,-2.699806,9.935749,3.493264
151,1.831000,101.901664,58.466270,251.659298,47.127817,-2.719005,9.905775,3.679147
152,1.841000,101.711928,57.922178,249.891315,45.068765,-2.433425,9.877228,3.854311
153,1.851000,101.551726,57.500930,248.464574,46.307076,-2.620612,9.844406,4.053931
154,1.861000,101.376258,57.071896,247.048016,48.265335,-2.644610,9.806554,4.282249
155,1.871000,101.182530,56.629835,245.622191,47.315003,-2.567816,9.762744,4.544457
156,1.881000,100.981864,56.201298,244.194392,47.991755,-2.325433,9.711643,4.850686
157,1.891000,100.767537,55.771904,242.754529,47.530988,-2.186243,9.651984,5.219682
158,1.901000,100.544772,55.351981,241.354505,50.669963,-2.003856,9.583560,5.633838
159,1.911000,100.544772,55.351981,241.354505,49.906817,-1.675080,9.489683,6.113548
160,1.921000,100.544772,55.351981,241.354505,51.692289,-1.511891,9.221875,6.600716
161,1.931000,100.544772,55.351981,241.354505,53.808937,-1.423098,8.864909,7.136619
162,1.941000,100.544772,55.351981,241.354505,53.333771,-1.329505,8.439881,7.740584
163,1.951000,100.544772,55.351981,241.354505,49.978812,-1.672680,7.939703,8.419699
164,1.961000,100.544772,55.351981,241.354505,49.503646,-1.444696,7.357595,9.180743
165,1.971000,98.979396,52.474927,232.347617,50.957942,-1.514291,6.687942,10.029334
166,1.981000,98.673069,52.085868,231.221757,50.065206,-0.827941,5.927561,10.968651
167,1.991000,98.350339,51.691388,230.204066,50.065206,-0.827941,5.077626,11.997523
168,2.001000,98.026797,51.309331,229.277219,47.905361,-0.515963,7.581074,8.232744
169,2.011000,97.715252,50.952725,228.439318,48.740501,-0.458367,10.942403,3.242858
170,2.021000,97.395072,50.596330,227.688488,47.876563,-1.173516,11.450642,2.277666
171,2.031000,97.064884,50.237813,227.022574,49.172470,-2.099849,11.284586,2.264785
172,2.041000,97.064884,50.237813,227.022574,44.651195,-2.459823,11.102750,2.267685
173,2.051000,97.064884,50.237813,227.022574,40.835469,-2.495821,10.912456,2.279042
174,2.061000,97.064884,50.237813,227.022574,40.317106,-2.399828,10.718112,2.294449
175,2.071000,97.064884,50.237813,227.022574,50.425180,-1.137518,10.522284,2.311340
176,2.081000,95.740398,48.527809,224.399052,46.263879,-1.336704,10.326375,2.328312
177,2.091000,95.740398,48.527809,224.399052,42.764930,-1.905463,10.139631,2.348460
178,2.101000,95.019131,47.876427,222.929009,40.993857,-2.215041,10.084443,2.421880
179,2.111000,94.716967,47.599403,222.100126,45.284749,-1.912663,10.075607,2.503572
180,2.121000,94.378617,47.298428,221.208375,43.686464,-1.771073,10.067457,2.577211
181,2.131000,94.047579,47.013299,220.269532,40.288308,-1.881465,10.059488,2.646621
182,2.141000,93.731350,46.750179,219.255194,40.288308,-1.881465,10.051295,2.714771
183,2.151000,93.391987,46.477967,218.212764,44.967972,-2.541418,10.042542,2.784033
184,2.161000,93.036036,46.203183,217.121422,42.822526,-2.217441,10.032931,2.856406
